TermTitle,TermDefinition,ReportTitle,document_id
Journal Voucher::Budget Number,"The journal voucher usually contains an entry or entries, explanations, references to documentary evidence supporting the entry or entries, and the signature or initials of one or more properly authorized officials.::A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.",Journal Voucher Detail,88
Instructional Day::Time Scheduling Blocks::Scheduling Unit::Course Space::Primary Instructor::Time Block::Schedule Line Number::Course::Instructional Time::Instructional Threshold::Time Schedule::Curriculum::Department::College::Academic Quarter::Academic Year,"The standard instructional day is defined as extending from 8:30am to 6:20pm.::The Time Schedule Blocks are a combination of duration and frequency and are used to give scheduling priority to all learning spaces involved. These are the accepted times that a department has to conform to in order to receive priority for a learning space/room assignment. The Blocks consist of 50 minute, 80 minute, 110 minute, and 170 minute periods of time. These are the units used to construct the time schedule.::Scheduling Units are a generic term used in the Learning Spaces Policy to describe the organization doing the scheduling to determine if the classes have been distributed appropriately. ""Unit"" here applies to departments, programs, and/or curriculum.::Course location identifies where the course section will take place in a physical location, whether the course section takes place in an online setting, or whether the course section is hybrid (a combination of physical  online).::Primary instructor is the instructor of record for a course section with the greatest percentage of involvement.::A repeating pattern of meeting times for a course section. The Seattle campus&rsquo::This number uniquely identifies each Course Section in the Time Schedule for a given Academic Quarter.::The Course is the principal vehicle for delivering education to students at the university and is organized around a specific topic of study. Courses are described and defined in the Course Catalog. At the University of Washington, each course is identified by a combination of course campus, Curriculum, and number. In order to be open for student registration, the course must first be approved by the University's curriculum committee. Students who wish to enroll in a given Course do so by registering for a Course Section displayed in the Time Schedule.::A measurement of the number of hours spent in teaching and teaching-related activities, as listed in the Time Schedule.::The Seattle campus&rsquo::A list of course offerings by section for an Academic Quarter. It includesdetails regarding the course sections, such as theinstructors of record,meetingtimes, meeting location,and other details. Instructions regarding how to read theTime Schedule can be foundin the Student Guide.::An academic discipline or body of knowledge, e.g.biology, astronomy, linguistics, or music. Curriculum abbreviations or codes are commonly used as part of a course identifier to classify course offerings according to their academic discipline. For example, the course BIOL 101 belongs to the Biology curriculum.::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.",Learning Spaces Policy,158
Faculty Effort Certification Cycle::Organization Code Dean Level::Organization Code,"The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Legacy FEC Dashboard Action List,148
Faculty,"Faculty at the University of Washington are Professors, Lecturers, Artists in Residence, Professors of Practice, Instructors, Teaching Associates, and Research Associates, in all titles, tracks, and ranks as described in the Faculty Code Section 21-31 and Faculty Code Section 24-34 Subsection B. This population is distinct from librarians, medical residents, senior fellows, and senior fellow trainees. The Faculty Code and any revisions to it that may occur in the future shall serve as the authoritative definition of this term.",Legacy Faculty On Leave,26
Organization Code Dean Level::Organization Code::Project Cost Accounting Code::Principal Investigator::Payroll Unit Code::Academic Appointment::Worker Position::Budget Number,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::PCA Codes allow for the use of Project, Task, and Option codes on financial transactions. These codes are additional reporting elements for salary and any other transactions the UW tracks in our finance system. Will be used as a part of cost allocations. Available for one time cost overrides in time tracking and payroll input.::The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.::A payroll unit code is a four-digit code that identifies what department a particular budget belongs to. This four-digit code is also used for generating reports and sorting payroll checks.::An academic appointment captures information about an academic's relationship with the UW. Information such as appointing unit, track, rank, and tenure percent (if applicable) is included in an appointment. All members of academic personnel (as defined in Administrative Policy Statement 40.1) will have an academic appointment in Workday.::Worker position contains data that is specific to a person in a given position such as the start date, pay components, title, and FTE percentage.::A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.",Legacy Grant and Contract Certification Report,149
Program of Study::Department::CIP Code::Major Pathway::Major::College::Campus,"A prescribed grouping of learning units such as courses, activities, competencies, learning objectives, and/or institutional/core requirements that are intended to facilitate the understanding of a particular body of knowledge. Programs may also include requirements as to the order, timing, performance, and results (e.g. GPA) of the grouping of learning units that make up a program. The end result of a completed program is an acknowledged level of accomplishment or a credential (e.g. certificate, degree, minor).::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::The Classification of Instructional Programs (CIP) code set is published by the U.S. Department of Education. This standard set of programs and associated codes (CIP codes) is used to facilitate comparison of departments and their academic offerings across universities. CIP codes are issued by the U.S. Department of Education's National Center for Education Statistics (NCES). See http://nces.ed.gov/ipeds/cipcode.::A given major may have multiple specializations or options, each with unique requirements for navigating to a similar degree. These variations of the major are termed ""major pathways"". A ""major pathway number"" is assigned to identify each variation. This number serves as an important identifier -- in conjunction with the major code -- to specifically identify an academic program and its requirements.::A major is a specific field of study into which a student matriculates.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Major Codes,90
Department::CIP Code::Major Pathway::Minor::College::Campus,"?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::The Classification of Instructional Programs (CIP) code set is published by the U.S. Department of Education. This standard set of programs and associated codes (CIP codes) is used to facilitate comparison of departments and their academic offerings across universities. CIP codes are issued by the U.S. Department of Education's National Center for Education Statistics (NCES). See http://nces.ed.gov/ipeds/cipcode.::A given major may have multiple specializations or options, each with unique requirements for navigating to a similar degree. These variations of the major are termed ""major pathways"". A ""major pathway number"" is assigned to identify each variation. This number serves as an important identifier -- in conjunction with the major code -- to specifically identify an academic program and its requirements.::A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Minor Codes,100
Charge Code::Academic Quarter::Academic Year,"A 10-digit code used in the student database (SDB) to identify debits and credits against a student's account.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.",Miscellaneous Student Accounts - Non-Tuition Charge Summary,14
Budget Number::Organization Code Dean Level::Organization Code,"A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Organization-Budget Relationship Report,44
Account Code::Organization Code Dean Level::Organization Code::Full Time Equivalent %,"Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. The Financial Accounting office maintains an Object Code table available on the web at http://www.washington.edu/admin/finacct/obcodes::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::The ratio of a worker's scheduled weekly hours to the weekly hours for the business site. If a worker works 20 hours a week and the business site weekly hours are 40, then the worker's FTE is 50 percent. Some academic personnel are not funded fully for effort; Roster Percent will be used to indicate effort for certain populations.",Paid FTE by Funding Source,97
Faculty::Organization Code::Sponsor Name::Application Type::Federal Grant Funding::Non-Federal Grant Funding::Has Paid Direct::Faculty Department Org Code::Funding Source::Percent of Sponsored Funding::Faculty Effort Certification Cycle::Organization Code Dean Level,"Faculty at the University of Washington are Professors, Lecturers, Artists in Residence, Professors of Practice, Instructors, Teaching Associates, and Research Associates, in all titles, tracks, and ranks as described in the Faculty Code Section 21-31 and Faculty Code Section 24-34 Subsection B. This population is distinct from librarians, medical residents, senior fellows, and senior fellow trainees. The Faculty Code and any revisions to it that may occur in the future shall serve as the authoritative definition of this term.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::The official name of any funding agency external to the university who funds university research activities.::An Application Type is a descriptor used to classify and organize the proposal with respect to the Grant Lifecycle.::Federal Grant Funding is funding that comes from US federal agencies (directly or as flow-through funding through a non-Federal agency) in the form of grants, cooperative agreements, fellowships, contracts, and intergovernmental personnel agreements.::Non-Federal Grant Funding is funding that comes from non-Federal agencies such as nonprofits, industry partners, healthcare institutes and hospitals, international institutions, foreign governments, associations, local and state governmental entities and other institutions of higher education in the form of grants, cooperative agreements, fellowships, contracts, and intergovernmental personnel agreements.::Has Paid Direct (PDR) refers to faculty who have an employee type in Workday of: Regular Paid Direct or Fixed-Term Paid Direct. Faculty with this designation have base salary paid by an external entity (e.g., Veterans Administration Medical Center (VAMC), Children's Hospital Regional Medical Center (CHRMC), Fred Hutchinson Cancer Research Center (FHCRC), VASEA, or HHMI).::The Department displayed on an Effort Report in eFECS is the organization that owns the default cost center associated with a faculty member&rsquo::Represents the specific federal agency or non-federal sponsor (e.g., non-profit organization, state or local government, for profit entity) that awards the money to the UW in response to a proposal for a grant, contract or cooperative agreement.::Represents the proportionate percentage of a UW facultys Institutional Base Salary (IBS) charged and/or cost shared to an externally funded grant, contract or cooperative agreement.::The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.",Predominantly Sponsor-Funded Faculty,151
Organization Code Dean Level::Organization Code::Fiscal Month,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::A calendar month beginning with the 1st and ending with the last day of the month.",Remaining Balance by OrgCode and Category,28
Biennium Year::In GCA Date::Project Period::Indirect Expense::Award Status::Sponsor Award Number::Funding Action Amount::Originating Sponsor Name::Sponsor Type::Sponsor Name::Principal Investigator::Principal Investigator ID::Project Type::Parent Application Type::Budget Number::FA ID::eGC1 ID::Organization Code Dean Level::Organization Code,"The name of the biennium assigned to each day of the biennium::The date at which the Office of Sponsored Programs (OSP) first sends an electronic Funding Action (eFA) to Grant and Contract Accounting (GCA) for budget set-up.::For Grant budgets. The total time period stated in the Notice of Grant Award (including any amendments) for which Federal support is recommended. The project period may consist of one or more budget periods. It does not constitute a commitment by the Federal government to fund the entire project period.::Indirect expense amounts are incurred for common or joint objectives and therefore cannot be identified readily and specifically with a particular sponsored project, program, or activity but are nevertheless necessary to the operations of the organization.::An internal UW status in the electronic system which indicates where the eFA is in the award process. The statuses include: In OSP: Indicates that OSP has received a notice of an award and has initiated the award review process. Approved: The official acceptance of the terms and conditions of the award by OSP. However, outstanding compliance issues may prevent the transfer of the award paperwork to GCA for budget set up. Sent to GCA: All compliance issues have been resolved and OSP has sent the notice to GCA for budget set up and data entry into the financial system. Returned by GCA: During the budget set-up process, questions about the terms of the award have arisen. GCA has returned the paper work for resolution. Re-sent by OSP: Any pending questions have been resolved and OSP has resent the award to GCA. Processed: GCA has set up a budget, completed all the data entry in the financial system and campus is notified that they now have authority to spend for the project.::An award identifier issued by a sponsor which identifies a specific UW award. This can be anything from an identifier with specific intelligence coded into the number (e.g. NIH award numbers) or the check number received in support of the award. Some sponsors may not necessarily have a sponsor number.::An amount listed on an eFA (electronic funding action) which has been awarded by an external sponsor to a research project during a specific budget period.::Indicates the source of the original funding for a UW subcontract. Along with award dollars, the terms and conditions of the subcontract are usually flowed from the Flow-through Sponsor to the Prime awardee and then to the UW as the subcontractor. The UW has primary programmatic responsibilities and reporting obligations to our primary sponsor (the Prime) as opposed to the flow-through sponsor.::An internal SAGE system description for the funding agency which indicates a category for the funding agency. This can include federal, Foundations, Local Government, Private Industry or a host of others.::The official name of any funding agency external to the university who funds university research activities.::The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.::This is a nine-digit employee identification number assigned to the individual designated as Principal Investigator.::Indicates whether the funding mechanism used for the project is a grant or a contract.::An Application Type is a descriptor used to classify and organize the proposal with respect to the Grant Lifecycle. In the case of a ""Parent"", this application may have other applications as ""children"".::A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.::An electronic Funding Action (eFA) is the UW internal electronic form used to accept an award and establish a research budget. These unique Alpha/numeric identifiers are generated in a UW system known as SPAERC (the OSP version of SAGE) but are not viewable in SAGE. Business units within the university can pull reports of FA activity by using Status Checker which is located on the Office of Sponsored Programs website http://www.washington.edu/research/osp/::Electronic Grant and Contract Form 1 (eGC1) is the internal electronic mechanism for the routing and approval of research proposals. Each eGC1 in SAGE receives a unique Alpha/Numeric ID which begins with the letter ""A""::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Research Awards,99
Grant and Contract Number::Originating Sponsor Name::Sponsor Type::Sponsor Name::Principal Investigator::Budget Number::FA ID::eGC1 ID::Organization Code Dean Level::Fiscal Month,"Sponsor-assigned number used to identify a particular grant or contract.::Indicates the source of the original funding for a UW subcontract. Along with award dollars, the terms and conditions of the subcontract are usually flowed from the Flow-through Sponsor to the Prime awardee and then to the UW as the subcontractor. The UW has primary programmatic responsibilities and reporting obligations to our primary sponsor (the Prime) as opposed to the flow-through sponsor.::An internal SAGE system description for the funding agency which indicates a category for the funding agency. This can include federal, Foundations, Local Government, Private Industry or a host of others.::The official name of any funding agency external to the university who funds university research activities.::The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.::A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.::An electronic Funding Action (eFA) is the UW internal electronic form used to accept an award and establish a research budget. These unique Alpha/numeric identifiers are generated in a UW system known as SPAERC (the OSP version of SAGE) but are not viewable in SAGE. Business units within the university can pull reports of FA activity by using Status Checker which is located on the Office of Sponsored Programs website http://www.washington.edu/research/osp/::Electronic Grant and Contract Form 1 (eGC1) is the internal electronic mechanism for the routing and approval of research proposals. Each eGC1 in SAGE receives a unique Alpha/Numeric ID which begins with the letter ""A""::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::A calendar month beginning with the 1st and ending with the last day of the month.",Research Budget Expenditures,154
Research Award::Project Period::Total Requested Amount::Sponsor Award Number::Originating Sponsor Name::Sponsor Type::Sponsor Name::Principal Investigator::Budget Number::FA ID::eGC1 ID::Organization Code Dean Level::In OSP Date,"A Research Award is a grant, cost reimbursement contract, or other agreement with a sponsor to fund an research effort. In relation to SAGE data pre-award business process and reporting, a Research Award is an Funding Action (FA) that has achieved a status of �InGCA� for the first time; which signifies acceptance by the Office of Sponsored Programs (OSP). This notice is usually in the form of a grant or a contract.::For Grant budgets. The total time period stated in the Notice of Grant Award (including any amendments) for which Federal support is recommended. The project period may consist of one or more budget periods. It does not constitute a commitment by the Federal government to fund the entire project period.::The complete amount of funding proposed for the entirety of a competing segment or the length of time covered by an eGC1.::An award identifier issued by a sponsor which identifies a specific UW award. This can be anything from an identifier with specific intelligence coded into the number (e.g. NIH award numbers) or the check number received in support of the award. Some sponsors may not necessarily have a sponsor number.::Indicates the source of the original funding for a UW subcontract. Along with award dollars, the terms and conditions of the subcontract are usually flowed from the Flow-through Sponsor to the Prime awardee and then to the UW as the subcontractor. The UW has primary programmatic responsibilities and reporting obligations to our primary sponsor (the Prime) as opposed to the flow-through sponsor.::An internal SAGE system description for the funding agency which indicates a category for the funding agency. This can include federal, Foundations, Local Government, Private Industry or a host of others.::The official name of any funding agency external to the university who funds university research activities.::The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.::A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.::An electronic Funding Action (eFA) is the UW internal electronic form used to accept an award and establish a research budget. These unique Alpha/numeric identifiers are generated in a UW system known as SPAERC (the OSP version of SAGE) but are not viewable in SAGE. Business units within the university can pull reports of FA activity by using Status Checker which is located on the Office of Sponsored Programs website http://www.washington.edu/research/osp/::Electronic Grant and Contract Form 1 (eGC1) is the internal electronic mechanism for the routing and approval of research proposals. Each eGC1 in SAGE receives a unique Alpha/Numeric ID which begins with the letter ""A""::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::For proposals, this is the date when all campus approvals have been secured and the proposal is first routed to OSP for review. In terms of awards this is the status of a Funding Action when it is first initiated by OSP (for further information see award statuses)",Research Proposal Details,136
