TermTitle,TermDefinition,ReportTitle
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Current Student Transcript Quarterly Summary
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Current Student Transcript Quarterly Summary
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Current Student Transcript Quarterly Summary
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Current Student Transcript Quarterly Summary
Credential,"<p>An academic credential is a degree, certification, or other documentation conferred by the university as an indication of the completion of one or more courses of study.</p>",Current Student Transfer Summary
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Current Student Transfer Summary
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Current Student Transfer Summary
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Current Student Transfer Summary
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Current Student Transfer Summary
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Current Student Transfer Summary
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Current Student Transfer Summary
Gender,<p>There are currently discussions at the UW to define this per national standards. A definition is forthcoming.</p>,Current Student Transfer Summary
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",Current Student Transfer Summary
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Current Student Transfer Summary
New Continuing Returning,This term is retired (cancelled),Current Student Transfer Summary
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",Current Student Transfer Summary
Underrepresented Minority Status,"A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:  <ul>  <li>a Hispanic/Latino ethnicity, OR</li>  <li>one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American</li>  </ul>",Current Student Transfer Summary
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Current Student Transfer Summary
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Current Student Transfer Summary
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Current Student Transfer Summary
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Current Student Transfer Summary
Grade,<p>A university-recognized symbol signifying a student's performance level in a course. Only decimal-reported grades are used to derive cumulative grade points to calculate GPA.</p>,Current Student Transfer Summary
Minor,"<p>A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.</p>",Current Student Transfer Summary
Course,"<p>The Course is the principal vehicle for delivering education to students at the university and is organized around a specific topic of study. Courses are described and defined in the Course Catalog. At the University of Washington, each course is identified by a combination of course campus, Curriculum, and number. In order to be open for student registration, the course must first be approved by the University's curriculum committee. Students who wish to enroll in a given Course do so by registering for a Course Section displayed in the Time Schedule.</p>",Current Student Transfer Summary
Course Number,"Course Number is a 3-digit number used in conjunction with a Curriculum code to&nbsp;identify a specific course. For Example: DXARTS 452 refers to the course&nbsp;""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Arts&nbsp;and Experimental Media"" (DXARTS) Curriculum.",Current Student Transfer Summary
Course Section,"Course instruction is provided&nbsp;in Course Sections. Students who wish to&nbsp;enroll in&nbsp;a given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.",Current Student Transfer Summary
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,Current Student Transfer Summary
Transcript,"<p>?A student's transcript is&nbsp;a permanent academic record of courses taken, grades and degrees received, academic status, and honors.</p>",Current Student Transfer Summary
Transfer Student,A student who enrolls at the UW after having been admitted as a transfer applicant.,Current Student Transfer Summary
Registered Student,"A student is registered on a given day in a given Academic Quarter if that student has one or more active Student Course Registrations for that day. For the sake of clarity, note that a student is no longer considered registered when that student drops all courses or withdraws from the university.",Current Student Transfer Summary
2-Year Transfer,"<p>A 2-Year transfer student transferred to UW directly (i.e., last prior school attended) from a regionally accredited 2-year college.</p>",Current Student Transfer Summary
UW Grade Point Average,"The University's grade point average is a weighted average of student grades that serves as a measure of the student's academic performance during a quarter, from the beginning of the student's studies at a given level (Cumulative GPA), or upon graduation (Degree GPA). It is expressed on a decimal scale from 0.00 to 4.00.<br>",Current Student Transfer Summary
Degree,"Formal award at the Bachelor's,&nbsp;Master's, Doctoral or Professional&nbsp;level conferred by the&nbsp;University&nbsp;as official recognition for the successful completion of a program of study.",Current Student Transfer Summary
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Curriculum Codes
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Curriculum Codes
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Curriculum Codes
Curriculum,"An academic discipline or body of knowledge, e.g.&nbsp;biology, astronomy, linguistics, or music. Curriculum abbreviations or codes are commonly used as part of a course identifier to classify course offerings according to their academic discipline. For example, the course BIOL 101 belongs to the Biology curriculum.",Curriculum Codes
CIP Code,"The Classification of Instructional Programs (CIP) code set is published by the U.S. Department of Education. This standard set of programs and associated codes (CIP codes) is used to facilitate comparison of departments and their academic offerings across universities. <span>CIP codes are issued by the U.S. Department of Education's National Center for Education Statistics (NCES). See <a target=""_blank"" rel=""nofollow"" href=""http://nces.ed.gov/ipeds/cipcode"">http://nces.ed.gov/ipeds/cipcode</a>.</span><br>",Curriculum Codes
Payroll Unit Code,A payroll unit code is a four-digit code that identifies what department a particular budget belongs to. This four-digit code is also used for generating reports and sorting payroll checks.,Curriculum Codes
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Custom Budget Index Report by OrgCode
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Custom Budget Index Report by OrgCode
Budget Number,A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.,Custom Budget Index Report by OrgCode
Data Access Control,"<p>Data Access Control, or DAC (rhymes with ""track"") as we often refer to it, is a collection of rules and software that uses roles to grant access to databases, tables, and columns in the EDW. This robust, role-based, security model provides column-level security across&nbsp;all data subject areas. Because of DAC, users can view the data they need, whether they are running reports, interacting with visualizations, or directly querying the EDW.</p>","DAC Secured Tables, Views And Columns Overview by Roles"
Data Access Control,"<p>Data Access Control, or DAC (rhymes with ""track"") as we often refer to it, is a collection of rules and software that uses roles to grant access to databases, tables, and columns in the EDW. This robust, role-based, security model provides column-level security across&nbsp;all data subject areas. Because of DAC, users can view the data they need, whether they are running reports, interacting with visualizations, or directly querying the EDW.</p>","DAC-Secured Tables, Views And Columns"
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Daily Aid and Refund Check Activity File
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Daily Aid and Refund Check Activity File
Tuition Category,"<p>A classification, generally assigned to students on the basis of academic program, used to assign tuition charges.</p>",Degree Codes
Credential,"<p>An academic credential is a degree, certification, or other documentation conferred by the university as an indication of the completion of one or more courses of study.</p>",Degree Codes
Degree,"Formal award at the Bachelor's,&nbsp;Master's, Doctoral or Professional&nbsp;level conferred by the&nbsp;University&nbsp;as official recognition for the successful completion of a program of study.",Degree Codes
Major Pathway,"<p>A given major may have multiple specializations or options, each with unique requirements for navigating to a similar degree. These variations of the major are termed ""major pathways"". A ""major pathway number"" is assigned to identify each variation. This number serves as an important identifier -- in conjunction with the major code -- to specifically identify an academic program and its requirements.</p>",Degree Codes
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Degree Codes
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Degree Codes
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Degree Codes
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Degree Codes
Organization Code,"<p>?The Organization Code&nbsp;uniquely identifies each&nbsp;organizational&nbsp;unit&nbsp;at the&nbsp;University. These organizational units can be administrative or academic in nature. Traditionally, the Organization Code has been used for financial purposes (for example, relating&nbsp;organizational units and&nbsp;budget numbers); however, its use has been adopted more broadly in recent years.</p>",Degrees and Organization Associations
Degree Type,"<p>Degree Type refers to the category of a degree granted within a given Degree Level. As an example, within the Bachelor's degree level, there can be different Degree Types; e.g., Bachelor of Science, Bachelor of Arts, etc.</p>",Degrees and Organization Associations
Degree Level,"Degree Level refers to the level of the academic award conferred to a student: Bachelor's, Master's, Graduate Certificate, Educational Specialist, Doctoral or Professional.",Degrees and Organization Associations
Credential,"<p>An academic credential is a degree, certification, or other documentation conferred by the university as an indication of the completion of one or more courses of study.</p>",Degrees and Organization Associations
Degree,"Formal award at the Bachelor's,&nbsp;Master's, Doctoral or Professional&nbsp;level conferred by the&nbsp;University&nbsp;as official recognition for the successful completion of a program of study.",Degrees and Organization Associations
Major Pathway,"<p>A given major may have multiple specializations or options, each with unique requirements for navigating to a similar degree. These variations of the major are termed ""major pathways"". A ""major pathway number"" is assigned to identify each variation. This number serves as an important identifier -- in conjunction with the major code -- to specifically identify an academic program and its requirements.</p>",Degrees and Organization Associations
Program of Study,"<p>A prescribed grouping of learning units such as courses, activities, competencies, learning objectives, and/or institutional/core requirements that are intended to facilitate the understanding of a particular body of knowledge. Programs may also include requirements as to the order, timing, performance, and results (e.g. GPA) of the grouping of learning units that make up a program. The end result of a completed program is an acknowledged level of accomplishment or a credential (e.g. certificate, degree, minor).</p>",Degrees and Organization Associations
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Degrees and Organization Associations
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Degrees and Organization Associations
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Degrees and Organization Associations
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Degrees and Organization Associations
Account Code,"<div>Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. <br></div><div><br></div><div>The Financial Accounting office maintains an Object Code table available on the web at <a target=""_blank"" rel=""nofollow"" href=""http://www.washington.edu/admin/finacct/obcodes"">http://www.washington.edu/admin/finacct/obcodes</a></div>",Expense and Revenue Transfer Report
Faculty Effort Certification Cycle,<p>The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.</p>,Expense and Revenue Transfer Report
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Expense and Revenue Transfer Report
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Expense and Revenue Transfer Report
Financial Accounting System,The UW�s financial system.  This is the system of record for all financial transactions including salary expenses.,FAS Batch Summary Report
Originating Area Code,"<p><span id=""lblLongDef"">Originating Area Code (OAC) is a 2-character data item appended to financial transactions that originate from Fastrans. These 2-characters are sometimes reflected as a prefix to invoice or reference number (ie; CTI or ISD number). The OAC code helps differentiate one unit's transactions from another unit's that might be submitted on the same day with the same date and file name.<br /> <br /> The OAC List includes the name and box (or email) of a contact person for the unit who originated the transaction. While Individuals listed there might not have generated the transaction or have the documentation you are seeking, they may, serve as a point of reference to help you find the information needed. The originating area code is included in the Transaction Detail Report of MyFinancial.desktop (MyFD).</span></p>",FAS Batch Summary Report
Account Code,"<div>Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. <br></div><div><br></div><div>The Financial Accounting office maintains an Object Code table available on the web at <a target=""_blank"" rel=""nofollow"" href=""http://www.washington.edu/admin/finacct/obcodes"">http://www.washington.edu/admin/finacct/obcodes</a></div>",FAS Batch Summary Report
Faculty Effort Certification Cycle,<p>The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.</p>,FEC Dashboard Action List
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,FEC Dashboard Action List
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",FEC Dashboard Action List
Faculty Effort Certification Cycle,<p>The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.</p>,FEC Dashboard Report by FEC Cycle
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,FEC Dashboard Report by FEC Cycle
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",FEC Dashboard Report by FEC Cycle
Faculty Effort Certification Cycle,<p>The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.</p>,FEC Dashboard Report by OrgCode
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,FEC Dashboard Report by OrgCode
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",FEC Dashboard Report by OrgCode
Faculty Effort Certification Cycle,<p>The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.</p>,Faculty Effort Certification (FEC) Dashboard
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Faculty Effort Certification (FEC) Dashboard
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Faculty Effort Certification (FEC) Dashboard
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Fiscal Year Income and Expense Summary Report Menu
