TermTitle,TermDefinition,ReportTitle,document_id
Previous Institution,"The applicant's most recent academic institution, prior to the current UW campus.",Current Student Information,165
Gender,<p>There are currently discussions at the UW to define this per national standards. A definition is forthcoming.</p>,Current Student Information,165
Previous Institution,"The applicant's most recent academic institution, prior to the current UW campus.",Current Student Information By Major,15
Gender,<p>There are currently discussions at the UW to define this per national standards. A definition is forthcoming.</p>,Current Student Information By Major,15
Veteran,An individual who has served in the United States Armed Forces.,Current Student Information By Major,15
Minor,"<p>A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.</p>",Current Student Information By Major,15
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Current Student Information By Major,15
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Current Student Information By Major,15
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Current Student Information By Major,15
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Current Student Information By Major,15
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Current Student Information By Major,15
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",Current Student Information By Major,15
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Current Student Information By Major,15
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",Current Student Information By Major,15
New Continuing Returning,This term is retired (cancelled),Current Student Information By Major,15
Underrepresented Minority Status,"A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:  <ul>  <li>a Hispanic/Latino ethnicity, OR</li>  <li>one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American</li>  </ul>",Current Student Information By Major,15
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Current Student Information By Major,15
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Current Student Information By Major,15
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Current Student Information By Major,15
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Current Student Information By Major,15
Local Address,<p>Local Address is a postal-recognized location of a student and is used when the student is actively attending classes at the UW.</p>,Current Student Information By Major,15
Permanent Address,"<p>The permanent address is a postal-recognized location (NOT a PO Box) which an applicant, student, or former student identifies as their permanent address on their application. It should be the same as a parent or legal guardian address if they are a dependent. It could be the same as their ""local"" address. If they are not a dependent, it could be the same as the &ldquo;local; address or simply the student&rsquo;s permanent home base for legal purposes. If they are an international student, the permanent address cannot be a U.S. address. (See Usage section below for more information from ISS.)</p>",Current Student Information By Major,15
Student Birth Date,"The date of birth of the student in the format of four digit year, month, and day.",Current Student Information By Major,15
Honors Program,"A program, also called University Honors Program, that provides an intimate academic community where students engage in rigorous interdisciplinary discourse, active reflection, opportunities for educational enrichment, independent study, mentoring, and experiential learning.",Current Student Information By Major,15
Tuition Exemption,"<p>?A status which allows eligible students to take up to 6 Tuition-based credit hours per quarter (on a space available basis) without paying tuition.Those eligible for Tuition Exemption include</p>  <ol style=""list-style-type: lower-alpha;"">  <li>state and educational employees (see RCW 28B.15.558), and</li>  <li>people 60 years old or older meeting certain conditions (see RCW 28B.15.540).</li>  </ol>",Current Student Information By Major,15
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,Current Student Information By Major,15
Transfer Credit,Transfer Credit is credit earned at another institution that is accepted by the UW and may be applied toward a degree.<br>,Current Student Information By Major,15
Extension Credit,Extension Credit refers to credit earned through special examination or by completing certain courses offered as extension courses. Such credits are not included in the UW grade-point average.,Current Student Information By Major,15
UW Grade Point Average,"The University's grade point average is a weighted average of student grades that serves as a measure of the student's academic performance during a quarter, from the beginning of the student's studies at a given level (Cumulative GPA), or upon graduation (Degree GPA). It is expressed on a decimal scale from 0.00 to 4.00.<br>",Current Student Information By Major,15
Intended Major,"Intended majors are the majors indicated by students at registration, including students who intend to apply for competitive majors such as Engineering or Nursing.",Current Student Information By Major,15
Minor,"<p>A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.</p>",Current Student Information By Minor,18
Tuition Exemption,"<p>?A status which allows eligible students to take up to 6 Tuition-based credit hours per quarter (on a space available basis) without paying tuition.Those eligible for Tuition Exemption include</p>  <ol style=""list-style-type: lower-alpha;"">  <li>state and educational employees (see RCW 28B.15.558), and</li>  <li>people 60 years old or older meeting certain conditions (see RCW 28B.15.540).</li>  </ol>",Current Student Information By Minor,18
Student Special Program,"In the context of the SDB, Student Special Program is a student&nbsp;attribute used for a large number of different purposes.",Current Student Information By Minor,18
Honors Program,"A program, also called University Honors Program, that provides an intimate academic community where students engage in rigorous interdisciplinary discourse, active reflection, opportunities for educational enrichment, independent study, mentoring, and experiential learning.",Current Student Information By Minor,18
Student Birth Date,"The date of birth of the student in the format of four digit year, month, and day.",Current Student Information By Minor,18
Gender,<p>There are currently discussions at the UW to define this per national standards. A definition is forthcoming.</p>,Current Student Information By Minor,18
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Current Student Information By Minor,18
Veteran,An individual who has served in the United States Armed Forces.,Current Student Information By Minor,18
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Current Student Information By Minor,18
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Current Student Information By Minor,18
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Current Student Information By Minor,18
Underrepresented Minority Status,"A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:  <ul>  <li>a Hispanic/Latino ethnicity, OR</li>  <li>one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American</li>  </ul>",Current Student Information By Minor,18
New Continuing Returning,This term is retired (cancelled),Current Student Information By Minor,18
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",Current Student Information By Minor,18
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Current Student Information By Minor,18
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",Current Student Information By Minor,18
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Current Student Information By Minor,18
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Current Student Information By Minor,18
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Current Student Information By Minor,18
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Current Student Information By Minor,18
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Current Student Information By Minor,18
Honors Program,"A program, also called University Honors Program, that provides an intimate academic community where students engage in rigorous interdisciplinary discourse, active reflection, opportunities for educational enrichment, independent study, mentoring, and experiential learning.",Current Student Registration Courses,19
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,Current Student Registration Courses,19
Schedule Line Number,This number uniquely identifies each Course Section in the Time Schedule for a given Academic Quarter.,Current Student Registration Courses,19
Course Section,"Course instruction is provided&nbsp;in Course Sections. Students who wish to&nbsp;enroll in&nbsp;a given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.",Current Student Registration Courses,19
Course Number,"Course Number is a 3-digit number used in conjunction with a Curriculum code to&nbsp;identify a specific course. For Example: DXARTS 452 refers to the course&nbsp;""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Arts&nbsp;and Experimental Media"" (DXARTS) Curriculum.",Current Student Registration Courses,19
Minor,"<p>A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.</p>",Current Student Registration Courses,19
Grade,<p>A university-recognized symbol signifying a student's performance level in a course. Only decimal-reported grades are used to derive cumulative grade points to calculate GPA.</p>,Current Student Registration Courses,19
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Current Student Registration Courses,19
Preferred Name,<p>Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo,Current Student Registration Courses,19
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Current Student Registration Courses,19
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Current Student Registration Courses,19
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Current Student Registration Courses,19
Underrepresented Minority Status,"A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:  <ul>  <li>a Hispanic/Latino ethnicity, OR</li>  <li>one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American</li>  </ul>",Current Student Registration Courses,19
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",Current Student Registration Courses,19
New Continuing Returning,This term is retired (cancelled),Current Student Registration Courses,19
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Current Student Registration Courses,19
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",Current Student Registration Courses,19
Gender,<p>There are currently discussions at the UW to define this per national standards. A definition is forthcoming.</p>,Current Student Registration Courses,19
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Current Student Registration Courses,19
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Current Student Registration Courses,19
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Current Student Registration Courses,19
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Current Student Registration Courses,19
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Current Student Registration Courses,19
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Current Student Registration Courses,19
Transcript,"<p>?A student's transcript is&nbsp;a permanent academic record of courses taken, grades and degrees received, academic status, and honors.</p>",Current Student Transcript Courses,16
Honors Program,"A program, also called University Honors Program, that provides an intimate academic community where students engage in rigorous interdisciplinary discourse, active reflection, opportunities for educational enrichment, independent study, mentoring, and experiential learning.",Current Student Transcript Courses,16
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,Current Student Transcript Courses,16
Course Section,"Course instruction is provided&nbsp;in Course Sections. Students who wish to&nbsp;enroll in&nbsp;a given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.",Current Student Transcript Courses,16
Course Number,"Course Number is a 3-digit number used in conjunction with a Curriculum code to&nbsp;identify a specific course. For Example: DXARTS 452 refers to the course&nbsp;""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Arts&nbsp;and Experimental Media"" (DXARTS) Curriculum.",Current Student Transcript Courses,16
Course,"<p>The Course is the principal vehicle for delivering education to students at the university and is organized around a specific topic of study. Courses are described and defined in the Course Catalog. At the University of Washington, each course is identified by a combination of course campus, Curriculum, and number. In order to be open for student registration, the course must first be approved by the University's curriculum committee. Students who wish to enroll in a given Course do so by registering for a Course Section displayed in the Time Schedule.</p>",Current Student Transcript Courses,16
Minor,"<p>A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.</p>",Current Student Transcript Courses,16
Grade,<p>A university-recognized symbol signifying a student's performance level in a course. Only decimal-reported grades are used to derive cumulative grade points to calculate GPA.</p>,Current Student Transcript Courses,16
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Current Student Transcript Courses,16
Preferred Name,<p>Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo,Current Student Transcript Courses,16
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Current Student Transcript Courses,16
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Current Student Transcript Courses,16
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Current Student Transcript Courses,16
Underrepresented Minority Status,"A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:  <ul>  <li>a Hispanic/Latino ethnicity, OR</li>  <li>one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American</li>  </ul>",Current Student Transcript Courses,16
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",Current Student Transcript Courses,16
New Continuing Returning,This term is retired (cancelled),Current Student Transcript Courses,16
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Current Student Transcript Courses,16
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",Current Student Transcript Courses,16
Gender,<p>There are currently discussions at the UW to define this per national standards. A definition is forthcoming.</p>,Current Student Transcript Courses,16
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Current Student Transcript Courses,16
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Current Student Transcript Courses,16
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Current Student Transcript Courses,16
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Current Student Transcript Courses,16
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Current Student Transcript Courses,16
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Current Student Transcript Courses,16
Quarterly Grade Point Average,A Quarterly GPA is an average of student grades weighted by the number of credits associated with each grade. It serves as a measure of the student's academic performance during a single quarter. It is expressed on a decimal scale from 0.00 to 4.00. Contrast Quarterly GPA with Degree GPA.<br>,Current Student Transcript Quarterly Summary,20
Enrollment Status,Enrollment Status denotes a student's most recent relationship to registration for a given quarter in which the student has had course registration within that quarter.,Current Student Transcript Quarterly Summary,20
Transcript,"<p>?A student's transcript is&nbsp;a permanent academic record of courses taken, grades and degrees received, academic status, and honors.</p>",Current Student Transcript Quarterly Summary,20
Honors Program,"A program, also called University Honors Program, that provides an intimate academic community where students engage in rigorous interdisciplinary discourse, active reflection, opportunities for educational enrichment, independent study, mentoring, and experiential learning.",Current Student Transcript Quarterly Summary,20
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,Current Student Transcript Quarterly Summary,20
Course Section,"Course instruction is provided&nbsp;in Course Sections. Students who wish to&nbsp;enroll in&nbsp;a given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.",Current Student Transcript Quarterly Summary,20
Course Number,"Course Number is a 3-digit number used in conjunction with a Curriculum code to&nbsp;identify a specific course. For Example: DXARTS 452 refers to the course&nbsp;""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Arts&nbsp;and Experimental Media"" (DXARTS) Curriculum.",Current Student Transcript Quarterly Summary,20
Course,"<p>The Course is the principal vehicle for delivering education to students at the university and is organized around a specific topic of study. Courses are described and defined in the Course Catalog. At the University of Washington, each course is identified by a combination of course campus, Curriculum, and number. In order to be open for student registration, the course must first be approved by the University's curriculum committee. Students who wish to enroll in a given Course do so by registering for a Course Section displayed in the Time Schedule.</p>",Current Student Transcript Quarterly Summary,20
Minor,"<p>A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.</p>",Current Student Transcript Quarterly Summary,20
Grade,<p>A university-recognized symbol signifying a student's performance level in a course. Only decimal-reported grades are used to derive cumulative grade points to calculate GPA.</p>,Current Student Transcript Quarterly Summary,20
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Current Student Transcript Quarterly Summary,20
Preferred Name,<p>Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo,Current Student Transcript Quarterly Summary,20
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Current Student Transcript Quarterly Summary,20
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Current Student Transcript Quarterly Summary,20
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Current Student Transcript Quarterly Summary,20
Underrepresented Minority Status,"A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:  <ul>  <li>a Hispanic/Latino ethnicity, OR</li>  <li>one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American</li>  </ul>",Current Student Transcript Quarterly Summary,20
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",Current Student Transcript Quarterly Summary,20
New Continuing Returning,This term is retired (cancelled),Current Student Transcript Quarterly Summary,20
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Current Student Transcript Quarterly Summary,20
